target_id	length	eff_length	est_counts	tpm
YAL001C	3483	3234	957	10.1167
YAL002W	3825	3576	865	8.26962
YAL003W	621	372	29390	2700.99
YAL005C	1929	1680	11743.9	238.984
YAL007C	648	399	1755	150.373
YAL008W	597	348	451	44.3061
YAL009W	780	531	473	30.4532
YAL010C	1482	1233	585	16.2203
YAL011W	1878	1629	795	16.6845
YAL012W	1185	936	9041	330.223
YAL013W	1218	969	988	34.8578
YAL014C	768	519	796	52.4339
YAL015C	1200	951	619	22.2524
YAL016W	1908	1659	3881	79.9768
YAL017W	4071	3822	785	7.02176
YAL018C	978	729	2	0.0937927
YAL019W	3396	3147	2780	30.2005
YAL020C	1002	753	519	23.5635
YAL021C	2514	2265	2497	37.6892
YAL022C	1554	1305	1347	35.2877
YAL023C	2280	2031	8583	144.476
YAL024C	4308	4059	690	5.81161
YAL025C	921	672	4041	205.583
YAL026C	4068	3819	2008	17.9755
YAL027W	786	537	347	22.0913
YAL028W	1587	1338	137	3.50051
YAL029C	4416	4167	3062	25.1217
YAL030W	354	105	236	76.8404
YAL031C	2283	2034	741	12.4547
YAL032C	1140	891	615	23.5974
YAL033W	522	273	463	57.9809
YAL034C	1242	993	424	14.5977
YAL034W-A	870	621	294	16.1854
YAL035W	3009	2760	13285	164.558
YAL036C	1110	861	4581	181.896
YAL037C-A	93	1.96996	0	0
YAL037W	804	555	99	6.0983
YAL038W	1503	1254	123758	3373.98
YAL039C	810	561	1014	61.7934
YAL040C	1743	1494	1874	42.8831
YAL041W	2565	2316	1739	25.6701
YAL042W	1248	999	5430	185.824
YAL043C	2358	2109	1433	23.2293
YAL044C	513	264	1613	208.88
YAL044W-A	333	84	282	114.772
YAL046C	357	108	245	77.5549
YAL047C	1869	1620	538	11.3536
YAL048C	1989	1740	472	9.27384
YAL049C	741	492	969	67.3326
YAL051W	3144	2895	1096	12.9428
YAL053W	2352	2103	3067	49.8587
YAL054C	2142	1893	297	5.3638
YAL055W	543	294	229	26.629
YAL056W	2643	2394	1228	17.5364
YAL058W	1509	1260	860	23.3343
YAL059W	639	390	2205	193.291
YAL060W	1149	900	1783	67.7291
YAL061W	1254	1005	317	10.7835
YAL062W	1374	1125	230	6.98943
YAL063C	3969	3720	512.144	4.70669
YAL063C-A	291	42.1305	6	4.8688
YAL064C-A	381	132	16.1138	4.1734
YAL064W	285	36.3667	3	2.82023
YAL064W-B	381	132	8.70587	2.25478
YAL065C	387	138	5.77148	1.4298
YAL067C	1782	1533	89	1.98479
YAL067W-A	228	7.24111	0	0
YAL068C	363	114	0	0
YAR002C-A	660	411	3501	291.217
YAR002W	1620	1371	2106	52.5155
YAR003W	1281	1032	899	29.7815
YAR007C	1866	1617	1729	36.5554
YAR008W	828	579	619	36.5493
YAR009C	3591	3342	11848.3	121.203
YAR010C	1323	1074	0	0
YAR014C	2130	1881	2088	37.9497
YAR015W	921	672	5079	258.39
YAR018C	1308	1059	501	16.1737
YAR019C	2925	2676	474	6.05562
YAR020C	168	3.12949	0	0
YAR023C	540	291	62	7.28392
YAR027W	708	459	500	37.2412
YAR028W	705	456	322	24.1411
YAR029W	225	6.80143	0	0
YAR031W	897	648	258.306	13.6278
YAR033W	705	456	295.248	22.1354
YAR035C-A	81	1.87681	0	0
YAR035W	2064	1815	124	2.33567
YAR042W	3567	3318	2203	22.6989
YAR050W	4614	4365	266.848	2.09
YAR064W	300	51.0207	6.5	4.35546
YAR066W	612	363	66	6.2159
YAR068W	486	237	195.183	28.1553
YAR071W	1404	1155	1061.45	31.4185
YBL001C	315	66.0004	673	348.606
YBL002W	396	147	5282	1228.42
YBL003C	399	150	3701.28	843.582
YBL004W	7482	7233	3962	18.7268
YBL005W	2931	2682	1250	15.9337
YBL005W-A	1323	1074	7.4941	0.238551
YBL005W-B	5268	5019	4745.24	32.3227
YBL006C	543	294	845	98.2598
YBL007C	3735	3486	3780	37.0707
YBL008W	2523	2274	1039	15.6204
YBL008W-A	240	9.60505	0	0
YBL009W	2031	1782	1499	28.7581
YBL010C	843	594	423	24.3456
YBL011W	2280	2031	2312	38.9175
YBL013W	1206	957	56	2.00052
YBL014C	2685	2436	1287	18.0621
YBL015W	1581	1332	611	15.6821
YBL016W	1062	813	1741	73.2108
YBL017C	4740	4491	2942.75	22.4015
YBL018C	402	153	359	80.2176
YBL019W	1563	1314	370	9.6266
YBL020W	1725	1476	1663	38.5188
YBL021C	435	186	174	31.9818
YBL022C	3402	3153	3056	33.1357
YBL023C	2607	2358	1027	14.89
YBL024W	2055	1806	6327	119.77
YBL025W	438	189	176	31.8359
YBL026W	288	39.223	317	276.303
YBL027W	570	321	39906.3	4250.14
YBL028C	321	72.0001	648	307.687
YBL029C-A	285	36.3667	123	115.629
YBL029W	1131	882	328	12.7137
YBL030C	957	708	6938	335.018
YBL031W	1017	768	350	15.5802
YBL032W	1146	897	2655	101.19
YBL033C	1038	789	1533	66.425
YBL034C	4542	4293	729	5.80542
YBL035C	2118	1869	1048	19.1698
YBL036C	774	525	1829	119.103
YBL037W	3078	2829	901	10.8883
YBL038W	699	450	683	51.889
YBL039C	1740	1491	10922	250.433
YBL039W-B	180	3.51476	0	0
YBL040C	660	411	1648	137.083
YBL041W	726	477	3229	231.428
YBL042C	1920	1671	5270	107.82
YBL043W	774	525	112	7.29332
YBL044W	369	120	8	2.27916
YBL045C	1374	1125	2771	84.2075
YBL046W	1326	1077	655	20.7918
YBL047C	4146	3897	3095	27.1517
YBL049W	417	168	69	14.0413
YBL050W	879	630	1395	75.7008
YBL051C	2007	1758	2775	53.9648
YBL052C	2496	2247	1280	19.4748
YBL054W	1578	1329	3213	82.6518
YBL055C	1257	1008	1657	56.199
YBL056W	1407	1158	4008	118.328
YBL057C	627	378	1273	115.134
YBL058W	1272	1023	3012	100.657
YBL059C-A	330	81	147	62.0439
YBL059W	582	333	296	30.3888
YBL060W	2064	1815	784	14.7675
YBL061C	2091	1842	2080	38.6047
YBL063W	3336	3087	770	8.52748
YBL064C	786	537	877	55.8331
YBL066C	3447	3198	568	6.07207
YBL067C	2244	1995	1675	28.7037
YBL068W	981	732	1724	80.518
YBL069W	1290	1041	995	32.6768
YBL071C-B	99	2.02205	0	0
YBL071W-A	249	12.2907	76	211.399
YBL072C	603	354	58163.3	5617.11
YBL074C	1068	819	217	9.05821
YBL075C	1950	1701	689	13.8478
YBL076C	3219	2970	17636	203.007
YBL078C	354	105	44	14.3262
YBL079W	4509	4260	2915	23.3935
YBL080C	1626	1377	341	8.46617
YBL081W	1107	858	1751.35	69.7834
YBL082C	1377	1128	1454	44.0679
YBL084C	2277	2028	661.423	11.1501
YBL085W	2943	2694	2398	30.4311
YBL086C	1401	1152	661	19.6162
YBL087C	414	165	10462.2	2167.74
YBL088C	8364	8115	937	3.94746
YBL089W	1380	1131	682	20.6152
YBL090W	534	285	556	66.6955
YBL091C	1266	1017	4741	159.373
YBL091C-A	528	279	261	31.9818
YBL092W	393	144	31835	7558.04
YBL093C	663	414	1006	83.0739
YBL095W	813	564	424	25.7012
YBL097W	2265	2016	425	7.20718
YBL098W	1383	1134	538	16.2194
YBL099W	1638	1389	6509	160.206
YBL100W-A	1317	1068	0	0
YBL100W-B	5313	5064	666.363	4.49866
YBL100W-C	120	2.24142	0	0
YBL101C	3354	3105	634	6.98063
YBL102W	648	399	874	74.8868
YBL103C	1461	1212	678	19.1247
YBL104C	3117	2868	908	10.8236
YBL105C	3456	3207	1996	21.2779
YBL106C	3033	2784	531	6.52067
YBL107C	591	342	557	55.6796
YBL108C-A	129	2.35784	0	0
YBL111C	2004	1755	82.9832	1.61652
YBL112C	318	69.0002	23.82	11.8021
YBL113C	2379	2130	930.536	14.9355
YBR001C	2343	2094	681	11.1183
YBR002C	861	612	1437	80.2735
YBR003W	1422	1173	1052	30.6609
YBR004C	1302	1053	1111	36.0705
YBR005W	642	393	262	22.7916
YBR006W	1494	1245	325	8.92443
YBR007C	2211	1962	679	11.8314
YBR008C	1647	1398	1124	27.4869
YBR009C	312	63.001	2355.23	1278.07
YBR010W	411	162	5351.85	1129.42
YBR011C	864	615	18600	1033.96
YBR012W-A	1323	1074	0	0
YBR012W-B	5271	5022	1273.64	8.67038
YBR013C	390	141	91	22.0642
YBR014C	612	363	806	75.9093
YBR015C	1794	1545	3823	84.5946
YBR016W	387	138	620	153.596
YBR017C	2757	2508	3521	47.996
YBR018C	1101	852	24	0.963027
YBR019C	2100	1851	248	4.58049
YBR020W	1587	1338	246	6.28559
YBR021W	1902	1653	1086	22.4607
YBR022W	534	285	300	35.9868
YBR023C	3498	3249	3296	34.682
YBR024W	906	657	289	15.0383
YBR025C	1185	936	16783	613
YBR026C	1143	894	1260	48.1837
YBR028C	1578	1329	1242	31.9494
YBR029C	1374	1125	2668	81.0774
YBR030W	1659	1410	1146	27.7864
YBR031W	1089	840	60866.4	2477.22
YBR033W	2760	2511	338	4.60189
YBR034C	1047	798	7487	320.754
YBR035C	687	438	1331	103.889
YBR036C	1233	984	2891	100.443
YBR037C	888	639	380	20.3306
YBR038W	2892	2643	2099	27.1508
YBR039W	936	687	2745	136.601
YBR040W	897	648	24	1.2662
YBR041W	2010	1761	1671	32.4402
YBR042C	1194	945	1256	45.4386
YBR043C	2070	1821	1133	21.2709
YBR044C	1719	1470	797	18.5356
YBR045C	1920	1671	87	1.77996
YBR046C	1005	756	392	17.7268
YBR047W	528	279	115	14.0916
YBR048W	471	222	16581.7	2553.54
YBR049C	2433	2184	1808	28.3017
YBR050C	1017	768	126	5.60888
YBR052C	633	384	1030	91.7007
YBR053C	1077	828	789	32.5772
YBR054W	1035	786	412	17.9201
YBR055C	2700	2451	1625	22.6661
YBR056W	1506	1257	759	20.643
YBR056W-A	201	4.52992	0	0
YBR057C	1101	852	1006	40.3669
YBR058C	2346	2097	2329	37.9698
YBR058C-A	243	10.394	15	49.3371
YBR059C	3327	3078	1507	16.7383
YBR060C	1863	1614	1118	23.6813
YBR061C	933	684	1705	85.2187
YBR062C	543	294	561	65.2352
YBR063C	1215	966	529	18.7217
YBR065C	1095	846	388	15.6794
YBR066C	663	414	255	21.0575
YBR067C	633	384	2975	264.864
YBR068C	1830	1581	8398	181.598
YBR069C	1860	1611	8262	175.33
YBR070C	714	465	634	46.6126
YBR071W	636	387	688	60.7777
YBR072C-A	162	2.97107	0	0
YBR072W	645	396	108	9.32385
YBR073W	2877	2628	2015	26.213
YBR074W	2931	2682	2023	25.7872
YBR076W	1065	816	32	1.34068
YBR077C	489	240	327	46.5804
YBR078W	1290	1041	26446	868.512
YBR079C	2895	2646	13769	177.901
YBR080C	2277	2028	2481	41.824
YBR081C	3999	3750	1359	12.3895
YBR082C	447	198	3534	610.194
YBR083W	1461	1212	2306	65.0464
YBR084C-A	570	321	26120.7	2781.93
YBR084W	2928	2679	7571	96.6156
YBR085C-A	258	16.1332	82	173.764
YBR085W	924	675	169	8.55952
YBR086C	2841	2592	4166	54.9479
YBR087W	1065	816	1463	61.2944
YBR088C	777	528	3046	197.225
YBR089C-A	300	51.0207	565	378.59
YBR090C	369	120	283	80.6254
YBR091C	330	81	163	68.797
YBR092C	1404	1155	4729.01	139.976
YBR093C	1404	1155	1040.69	30.8039
YBR094W	2262	2013	1206	20.4819
YBR095C	1293	1044	766	25.0839
YBR096W	693	444	1314	101.176
YBR097W	4365	4116	541	4.49354
YBR098W	2076	1827	346	6.47447
YBR101C	873	624	1402	76.8122
YBR102C	2262	2013	1071	18.1892
YBR103W	1608	1359	789	19.8483
YBR104W	990	741	1499	69.1592
YBR105C	1089	840	1499	61.0083
YBR106W	567	318	9560	1027.77
YBR107C	738	489	285	19.9252
YBR108W	2844	2595	500	6.58718
YBR109C	444	195	3077	539.46
YBR110W	1350	1101	1419	44.0618
YBR111C	696	447	1393	106.539
YBR111W-A	291	42.1305	194	157.424
YBR112C	2901	2652	2536.22	32.6948
YBR114W	2373	2124	1020	16.4177
YBR115C	4179	3930	2556	22.2349
YBR117C	2046	1797	317	6.03084
YBR118W	1377	1128	227244	6887.32
YBR119W	897	648	643	33.9237
YBR120C	489	240	199	28.3471
YBR121C	2004	1755	18746	365.173
YBR122C	534	285	701	84.0891
YBR123C	1950	1701	779	15.6567
YBR125C	1182	933	1111	40.7098
YBR126C	1488	1239	1847	50.9639
YBR126W-A	207	4.94562	0	0
YBR127C	1554	1305	11262	295.034
YBR128C	1035	786	88	3.8276
YBR129C	987	738	545	25.2468
YBR130C	1278	1029	1681	55.8495
YBR131W	2115	1866	477	8.73924
YBR132C	1791	1542	209	4.63371
YBR133C	2484	2235	1615	24.7037
YBR135W	453	204	627	105.076
YBR136W	7107	6858	537	2.67697
YBR137W	540	291	558	65.5553
YBR138C	1575	1326	278	7.1675
YBR139W	1527	1278	535	14.3116
YBR140C	9279	9030	1564	5.92128
YBR141C	1014	765	697	31.1486
YBR142W	2322	2073	4192	69.1335
YBR143C	1314	1065	11580	371.728
YBR145W	1056	807	452	19.1484
YBR146W	837	588	1140	66.2818
YBR147W	891	642	24	1.27804
YBR148W	1830	1581	114	2.46513
YBR149W	1035	786	2216	96.386
YBR150C	3285	3036	608.185	6.84858
YBR151W	951	702	3235	157.545
YBR152W	876	627	239	13.0316
YBR153W	735	486	467	32.8509
YBR154C	648	399	3292	282.068
YBR155W	1158	909	2852	107.264
YBR156C	2097	1848	525	9.71234
YBR157C	768	519	326	21.4742
YBR158W	1650	1401	9098	222.011
YBR159W	1044	795	2906	124.967
YBR160W	897	648	1215	64.1015
YBR161W	1131	882	355	13.7603
YBR162C	1368	1119	15337	468.573
YBR162W-A	198	4.34781	0	0
YBR163W	1758	1509	1010	22.8823
YBR164C	552	303	1073	121.066
YBR165W	834	585	349	20.3956
YBR166C	1359	1110	1727	53.1907
YBR167C	423	174	236	46.3692
YBR168W	1242	993	437	15.0452
YBR169C	2082	1833	389	7.25527
YBR170C	1743	1494	1172	26.8191
YBR171W	621	372	1626	149.432
YBR172C	2223	1974	3543	61.3608
YBR173C	447	198	1131	195.283
YBR175W	948	699	613	29.9813
YBR176W	939	690	532	26.359
YBR177C	1356	1107	1383	42.7112
YBR179C	2568	2319	1085	15.9954
YBR180W	1719	1470	141	3.2792
YBR181C	711	462	26220.9	1940.32
YBR182C	1359	1110	183	5.63631
YBR182C-A	195	4.18037	0	0
YBR183W	951	702	230	11.201
YBR184W	1572	1323	130	3.35931
YBR185C	837	588	522	30.3501
YBR186W	1695	1446	488	11.5377
YBR187W	843	594	3339	192.175
YBR188C	423	174	265	52.0671
YBR189W	588	339	35001.4	3529.81
YBR191W	483	234	22716.3	3318.86
YBR192W	1134	885	829	32.0242
YBR193C	672	423	513	41.4614
YBR194W	372	123	97	26.9608
YBR195C	1269	1020	779	26.1098
YBR196C	1665	1416	33074	798.528
YBR196C-A	150	2.70536	0	0
YBR196C-B	105	2.0784	0	0
YBR197C	654	405	474	40.012
YBR198C	2397	2148	1850	29.4445
YBR199W	1395	1146	2443	72.8795
YBR200W	1656	1407	983	23.885
YBR200W-A	165	3.04784	0	0
YBR201C-A	204	4.7285	0	0
YBR201W	636	387	214	18.9047
YBR202W	2538	2289	1676	25.032
YBR203W	2775	2526	266	3.6001
YBR204C	1128	879	552	21.4693
YBR205W	1215	966	2698	95.4842
YBR207W	1398	1149	1827	54.3607
YBR208C	5508	5259	1247	8.10644
YBR210W	429	180	330	62.677
YBR211C	975	726	442	20.8138
YBR212W	2019	1770	1461	28.2191
YBR213W	825	576	70	4.15472
YBR214W	1584	1335	330	8.45083
YBR215W	1878	1629	1201	25.2051
YBR216C	2025	1776	941	18.114
YBR217W	561	312	210	23.0108
YBR218C	3543	3294	3890.3	40.3762
YBR219C	384	135	0	0
YBR220C	1683	1434	1513	36.0709
YBR221C	1101	852	7026	281.926
YBR221W-A	105	2.0784	0	0
YBR222C	1632	1383	2129	52.6284
YBR223C	1635	1386	243	5.9939
YBR225W	2703	2454	486	6.77062
YBR227C	1563	1314	1229	31.9759
YBR228W	915	666	488	25.0503
YBR229C	2865	2616	1583	20.6876
YBR230C	405	156	324	71.0047
YBR230W-A	201	4.52992	0	0
YBR231C	912	663	360	18.5633
YBR233W	1242	993	539	18.5569
YBR233W-A	285	36.3667	183	172.034
YBR234C	1155	906	3029	114.298
YBR235W	3363	3114	1216	13.35
YBR236C	1311	1062	1128	36.3121
YBR237W	2550	2301	933	13.8622
YBR238C	2196	1947	1932	33.9241
YBR239C	1590	1341	479	12.2116
YBR240C	1353	1104	69	2.13672
YBR241C	1467	1218	251	7.0452
YBR242W	717	468	1514	110.598
YBR243C	1347	1098	1230	38.2974
YBR244W	489	240	903	128.63
YBR245C	3390	3141	2293	24.9576
YBR246W	1164	915	1519	56.7549
YBR247C	1452	1203	4238	120.438
YBR248C	1659	1410	3322	80.5466
YBR249C	1113	864	9588	379.386
YBR250W	1572	1323	75	1.93806
YBR251W	924	675	629	31.8576
YBR252W	444	195	923	161.821
YBR253W	366	117	259	75.6799
YBR254C	528	279	365	44.7255
YBR255C-A	363	114	209	62.677
YBR255W	2085	1836	613	11.4144
YBR256C	717	468	2086	152.383
YBR257W	840	591	533	30.8323
YBR258C	429	180	157	29.8191
YBR259W	2067	1818	691	12.9942
YBR260C	2001	1752	915	17.8547
YBR261C	699	450	1222	92.8379
YBR262C	321	72.0001	247	117.282
YBR263W	1473	1224	6972	194.734
YBR264C	600	351	381	37.1095
YBR265W	963	714	1491	71.3914
YBR267W	1182	933	3483	127.626
YBR268W	318	69.0002	261	129.317
YBR269C	417	168	319	64.9155
YBR270C	1638	1389	387	9.52523
YBR271W	1260	1011	1469	49.6749
YBR272C	1443	1194	698	19.9856
YBR273C	1311	1062	1218	39.2093
YBR274W	1584	1335	894	22.8941
YBR275C	5751	5502	1638	10.1779
YBR276C	2424	2175	1611	25.3223
YBR278W	606	357	340	32.5595
YBR279W	1338	1089	2169	68.0924
YBR280C	1914	1665	211	4.33246
YBR281C	2637	2388	1312	18.7831
YBR282W	441	192	237	42.2001
YBR283C	1473	1224	8048	224.788
YBR284W	2394	2145	126	2.00821
YBR285W	435	186	26	4.77889
YBR286W	1614	1365	13057	327.022
YBR287W	1284	1035	1346	44.4602
YBR288C	1452	1203	1202	34.159
YBR289W	2718	2469	798.204	11.0525
YBR290W	966	717	932	44.4389
YBR291C	900	651	525	27.5705
YBR293W	1425	1176	875	25.4371
YBR294W	2580	2331	481	7.05455
YBR295W	3651	3402	645	6.48175
YBR296C	1725	1476	550	12.7392
YBR296C-A	120	2.24142	0	0
YBR297W	1407	1158	677.295	19.9957
YBR298C	1845	1596	506	10.8389
YBR298C-A	222	6.40741	0	0
YBR299W	1755	1506	166.111	3.77086
YBR301W	363	114	27.2757	8.17971
YBR302C	1140	891	1030.39	39.5357
YCL001W	567	318	1251	134.492
YCL001W-A	462	213	20	3.21009
YCL001W-B	255	14.7017	5	11.627
