target_id	length	eff_length	est_counts	tpm
YAL001C	3483	3234	985	10.2789
YAL002W	3825	3576	768	7.24796
YAL003W	621	372	25696	2331.17
YAL005C	1929	1680	3925.05	78.8475
YAL007C	648	399	1788	151.233
YAL008W	597	348	416	40.3428
YAL009W	780	531	515	32.7314
YAL010C	1482	1233	584	15.9846
YAL011W	1878	1629	685	14.1913
YAL012W	1185	936	7458	268.905
YAL013W	1218	969	1139	39.669
YAL014C	768	519	816	53.0609
YAL015C	1200	951	761	27.0057
YAL016W	1908	1659	4011	81.594
YAL017W	4071	3822	703	6.2075
YAL018C	978	729	7	0.324058
YAL019W	3396	3147	2981	31.9681
YAL020C	1002	753	394	17.6585
YAL021C	2514	2265	2027	30.2021
YAL022C	1554	1305	1232	31.8605
YAL023C	2280	2031	6933	115.203
YAL024C	4308	4059	708	5.88662
YAL025C	921	672	4328	217.355
YAL026C	4068	3819	2096	18.5222
YAL027W	786	537	336	21.1163
YAL028W	1587	1338	124	3.12764
YAL029C	4416	4167	2635	21.3407
YAL030W	354	105	292	93.8524
YAL031C	2283	2034	799	13.2571
YAL032C	1140	891	728	27.5744
YAL033W	522	273	439	54.2692
YAL034C	1242	993	461	15.6676
YAL034W-A	870	621	231	12.5537
YAL035W	3009	2760	17028	208.212
YAL036C	1110	861	3778	148.085
YAL037C-A	93	1.96996	0	0
YAL037W	804	555	161	9.79005
YAL038W	1503	1254	34251	921.781
YAL039C	810	561	590	35.4929
YAL040C	1743	1494	790	17.8455
YAL041W	2565	2316	1836	26.7538
YAL042W	1248	999	5528	186.747
YAL043C	2358	2109	1594	25.5072
YAL044C	513	264	3692	471.965
YAL044W-A	333	84	480	192.847
YAL046C	357	108	253	79.0585
YAL047C	1869	1620	592	12.3327
YAL048C	1989	1740	581	11.2688
YAL049C	741	492	903	61.9405
YAL051W	3144	2895	1009	11.7624
YAL053W	2352	2103	2944	47.2444
YAL054C	2142	1893	295	5.25924
YAL055W	543	294	206	23.6468
YAL056W	2643	2394	1666	23.4857
YAL058W	1509	1260	710	19.0169
YAL059W	639	390	2359	204.134
YAL060W	1149	900	1439	53.9598
YAL061W	1254	1005	465	15.6149
YAL062W	1374	1125	283	8.48957
YAL063C	3969	3720	668.407	6.06387
YAL063C-A	291	42.1305	0	0
YAL064C-A	381	132	20.8787	5.33803
YAL064W	285	36.3667	0	0
YAL064W-B	381	132	15.3195	3.91671
YAL065C	387	138	4.44027	1.08588
YAL067C	1782	1533	45	0.990654
YAL067W-A	228	7.24111	0	0
YAL068C	363	114	0	0
YAR002C-A	660	411	3224	264.731
YAR002W	1620	1371	2235	55.0164
YAR003W	1281	1032	912	29.8241
YAR007C	1866	1617	1205	25.1495
YAR008W	828	579	528	30.7756
YAR009C	3591	3342	9897.1	99.9432
YAR010C	1323	1074	0	0
YAR014C	2130	1881	2613	46.8816
YAR015W	921	672	19124	960.42
YAR018C	1308	1059	754	24.0285
YAR019C	2925	2676	492	6.20484
YAR020C	168	3.12949	0	0
YAR023C	540	291	71	8.23412
YAR027W	708	459	443	32.5719
YAR028W	705	456	346	25.6073
YAR029W	225	6.80143	0	0
YAR031W	897	648	212.028	11.0425
YAR033W	705	456	246.809	18.2662
YAR035C-A	81	1.87681	0	0
YAR035W	2064	1815	66	1.22721
YAR042W	3567	3318	1536	15.6231
YAR050W	4614	4365	242.973	1.87856
YAR064W	300	51.0207	4.5	2.97658
YAR066W	612	363	71.4286	6.64075
YAR068W	486	237	141.432	20.1397
YAR071W	1404	1155	635.106	18.5574
YBL001C	315	66.0004	761	389.125
YBL002W	396	147	2444	561.094
YBL003C	399	150	665.089	149.637
YBL004W	7482	7233	3859	18.0056
YBL005W	2931	2682	1275	16.0437
YBL005W-A	1323	1074	0.00169161	5.31554e-05
YBL005W-B	5268	5019	9438.81	63.4675
YBL006C	543	294	848	97.342
YBL007C	3735	3486	4121	39.8958
YBL008W	2523	2274	916	13.5943
YBL008W-A	240	9.60505	1	3.5136
YBL009W	2031	1782	1372	25.9835
YBL010C	843	594	375	21.3057
YBL011W	2280	2031	1795	29.8268
YBL013W	1206	957	58	2.04535
YBL014C	2685	2436	1415	19.6034
YBL015W	1581	1332	593	15.0246
YBL016W	1062	813	1435	59.568
YBL017C	4740	4491	2772	20.8306
YBL018C	402	153	335	73.8933
YBL019W	1563	1314	371	9.52863
YBL020W	1725	1476	1556	35.5775
YBL021C	435	186	174	31.571
YBL022C	3402	3153	2498	26.7375
YBL023C	2607	2358	1149	16.4448
YBL024W	2055	1806	6499	121.445
YBL025W	438	189	177	31.6055
YBL026W	288	39.223	340	292.543
YBL027W	570	321	48101.4	5057.14
YBL028C	321	72.0001	697	326.702
YBL029C-A	285	36.3667	113	104.864
YBL029W	1131	882	304	11.6321
YBL030C	957	708	9140	435.677
YBL031W	1017	768	370	16.2589
YBL032W	1146	897	2557	96.2033
YBL033C	1038	789	1148	49.104
YBL034C	4542	4293	668	5.25131
YBL035C	2118	1869	828	14.9511
YBL036C	774	525	2459	158.071
YBL037W	3078	2829	744	8.87548
YBL038W	699	450	792	59.397
YBL039C	1740	1491	10851	245.609
YBL039W-B	180	3.51476	0	0
YBL040C	660	411	1679	137.867
YBL041W	726	477	3863	273.312
YBL042C	1920	1671	3456	69.799
YBL043W	774	525	77	4.94975
YBL044W	369	120	1	0.281236
YBL045C	1374	1125	3694	110.814
